Year,Algeria,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Botswana,Brunei Darussalam,Burkina Faso,Canada,Chile,China,Colombia,Denmark,El Salvador,Eswatini,Ethiopia,Finland,France,Ghana,Greece,India,"Iran, Islamic Rep.",Ireland,Italy,Jamaica,Japan,Jordan,Kenya,Kuwait,Lesotho,Madagascar,Malaysia,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Netherlands,New Zealand,Nigeria,Norway,Oman,Papua New Guinea,Paraguay,Philippines,Portugal,Romania,Saudi Arabia,Seychelles,Singapore,South Asia,South Asia (IDA & IBRD),Spain,Sri Lanka,Sweden,Switzerland,United Kingdom
1990,5.7840616966581,6.79190522886154,2.54508548676712,14.2857142857143,10.2820063762895,4.27959644497837,12.3645060225396,10.1821366024518,14.6914446002805,13.144823407697,3.98190863727281,14.8528411666919,13.7473617006492,9.10071869210253,3.48803573327661,21.4230967831973,6.32302405498282,30.7716341601969,3.2151112563917,5.62272477258817,2.64882352941176,8.59184499710816,12.4005755356987,14.4785054445993,2.77304792021406,3.29017935816754,3.13701651210133,3.06864140369055,17.5122749590835,8.8624380139351,52.5620170801139,10.8739130434783,7.23283477373473,7.80236404194764,1.11056870881133,1.71880914289175,9.15416731096335,14.5002137946913,11.3913043478261,20.2090592334495,4.73341309969509,4.66738621107221,2.23416091170604,5.79109439720951,29.6130319148936,5.88340807174888,23.0381808713417,10.0146771672634,4.23787920375751,11.8212121212121,35.4435866022514,8.74172185430463,29.9166437666025,12.2295082293679,12.2295082293679,5.32856611631712,7.50666239204921,3.96808390022676,5.52137020125811,10.4730975993912
1991,4.04408631309805,6.54926201406241,2.41118378863666,16.9811320754717,10.4265603011602,4.06261999398084,11.1183095546909,10.3277728351127,15.2408339324227,11.6170772457431,3.59879493039684,12.8210569502508,14.2536409948237,8.97705173084403,3.46559548383695,14.9001220340965,6.32331902718169,22.5840379459682,3.08882698854844,5.51194517377115,3.31086956521739,8.62375121676316,10.8575339962792,12.4876185458377,2.78562549440615,3.17938658035328,2.96819787985866,3.06741765790194,22.0808383233533,7.62387533757925,57.4780976220275,9.30513595166163,7.90886798894993,10.7233219229052,1.27909692487349,1.96852540494154,8.53517877739331,15.8036984352774,10.7515657620042,15.4343629343629,4.42310044390725,4.29860849943588,2.11395208375277,5.39800572903343,25.7732371794872,4.20302013422819,25.1385644606996,9.774280873274,3.87844382981755,12.3764705882353,35.4435866022514,8.48837209302326,27.5114155251142,10.8038156476836,10.8038156476836,4.7650144363299,9.53401623341558,3.53797008568273,5.06756756756757,10.5594863398046
1992,6.99037152304999,6.36201933521616,2.23902106697411,16.7464114832536,11.5816318191492,3.23730396735657,9.92439287641662,9.89727200843437,13.350700097688,11.2464675552794,3.45698501440769,12.0629733891604,16.8676255164799,9.74865475552657,3.29377875975163,11.1271755103486,5.83658536585366,17.0178359096314,3.033359193173,5.14267602267547,2.56352112676056,8.56575944552447,10.3123200283525,9.89693284381215,2.62690620430332,3.00395264453822,5.31516727165702,2.98526201516685,19.1864927091328,5.88552093943545,34.9962207105064,7.7321029082774,3.84179606475183,9.72027216762069,1.25334742776603,2.2432059873912,7.24247614387081,15.1129617889459,10.1146325016858,11.5228673370094,4.30190763942409,3.99098610974288,1.47025714817099,5.66573188562115,26.4798002723559,3.9732770745429,18.4214785095126,9.69260729164099,3.67686807902324,10.1225296442688,27.2551339074477,9.32504440497336,29.6495746507453,10.4106746348698,10.4106746348698,4.44202958335789,11.9525303778876,3.27306168388496,4.7275504318084,9.38089239470594
1993,7.08607886204372,6.3810935335245,2.05751372251182,16.7731629392971,11.1583204797183,3.00544454422991,7.05054151624549,10.1145458633094,11.0300554420776,9.41532579257607,3.44489084786311,12.2562490898244,14.7961048080659,10.8020523899541,3.15876853437863,9.42314203779843,6.81239015817223,15.6974516190841,2.84775867447109,4.8987591294078,2.33333333333333,8.11759431932291,10.9685970547345,5.13950299434712,2.61697469578942,3.01093015651877,3.7046204620462,2.83623979848618,18.8718662952646,5.33088714796233,20.2681388012618,6.93672099712368,5.4523204367881,10.7255042135136,1.25552841771734,2.19525794546372,4.75638849382943,15.8109209453953,9.96965756393585,6.85146443514644,3.89346167698,4.13508636246455,1.79960691757394,5.24286169764644,25.0974614687217,3.96337861783816,17.0762529773917,10.749149346678,3.76043244337477,8.11078286558346,32.8341050614721,4.527665317139,27.1738393764825,13.3826730526514,13.3826730526514,4.11626997100486,12.1023020069321,3.29441520389716,4.09061290198934,8.71951695905988
1994,9.36837532754282,6.26089197614197,2.02627916406396,16.2861491628615,11.8260783388741,3.03095725656255,8.40746248479113,10.2269780956638,9.27213722763097,7.9615947832598,3.36951649302872,12.3832287660796,14.0883852274478,10.2048623096603,2.93625742214495,7.52992559042381,6.64430746918057,11.4547504933747,2.73639781513797,4.89696377122681,2.21760736196319,8.44884051738397,10.3457325337443,7.59889563354418,2.56900009550186,3.0301546336717,2.84445505250992,2.76337447454063,18.7007874015748,4.97526175633965,22.655707339662,6.8815592203898,4.69000767808586,11.2340270908614,1.10885416666667,2.51364297927058,5.50309477913606,16.2982565379826,10.7369448511469,5.61182019977802,3.7767013928933,4.33186490455213,2.34854835531479,5.42412458391484,25.8274414494034,5.34263959390863,14.0196253889546,9.66829478598731,3.85869901801068,9.31670673076923,31.3012929925881,3.84025559105431,32.992277992278,12.9423035790008,12.9423035790008,4.24008161178048,12.6466936825092,3.23167180913476,3.98323947238696,8.28515557655702
1995,9.35430542529686,6.00408729628834,1.9012255498742,17.0914542728636,11.4423578518563,2.93406851243548,8.13116726835138,9.0590524034673,9.08682970608032,7.0871449205585,3.1727128681944,12.7057924959971,15.1579223649271,10.6769670447441,2.87960013979282,6.74132239929857,7.49102656137832,9.00800286669852,2.37208987547374,4.57260679176181,2.41077868852459,6.63823027867972,10.5032657818451,8.49850389570016,2.5162925416365,2.83424285313819,2.26703278628605,2.69706084575007,12.3311802701116,5.40986729316147,24.8814630842177,7.77760449157829,4.88250806730194,11.1790919384885,1.10905554764954,2.1800909756739,5.51005684933483,16.0039618928464,5.8278656889232,5.83313693141645,3.33487582909147,4.42592217267937,3.86942353880894,4.67681688569956,25.0139664804469,4.61572890025575,14.2703306202509,10.5162776826429,4.00806440030607,7.97685554668795,28.4488505747126,4.29571984435798,29.379479654608,13.2708386100933,13.2708386100933,4.22068836494863,19.344427585048,2.80785378548851,4.05585008195874,7.57240943876998
1996,10.6039471929591,5.76108164555223,1.86221022984657,19.2982456140351,11.9872758971844,2.8638154885472,7.62790221949473,7.72697205225732,12.366452991453,6.46392618876706,2.97895270698618,11.7437088876688,14.9527564537426,14.8410643665282,2.83596682920336,5.49755338078292,6.39747191011236,7.87914459485972,2.61878415987661,4.42295444506778,2.14923076923077,7.01545681563765,10.3272867181431,10.6492516867016,2.56974087009011,3.07688002659184,1.98748910982422,2.64622324726508,16.3265306122449,6.21314022953367,23.1181515007146,6.87006764374295,6.9640008323507,9.84388131100911,1.0323653291953,2.09419240963556,5.6099720211522,17.6139537481846,6.00915399379891,5.52707930367505,3.74187824870052,4.49397560306334,3.6668713107333,4.59855147543495,24.5055432372506,5.89166193987521,11.9504256462694,10.1198533414126,3.72100147153853,7.32681336593317,25.2502309241509,3.54533152909337,23.1695587704885,12.8383956559639,12.8383956559639,4.10163677910876,19.5327688352851,2.4564510864166,3.78011830904631,7.62766298130711
1997,11.7514310748342,5.68630161751725,1.94611688864562,13.6107986501687,12.2654684840685,2.8252334832238,8.03956865075996,8.00949972662657,13.4445534838077,6.99255060275786,2.79085696889746,12.0187498986273,14.0949696959647,8.95809476823623,2.89041968125948,5.89347393761775,6.37466307277628,15.0983328341819,2.79494936209391,4.37956330391438,2.23376498800959,7.31003670017552,10.6778905710995,11.867992885364,2.55898439059444,3.27930181196682,2.24808714072393,2.73420772515385,17.7364864864865,5.75524693766092,18.5152947028102,6.1397400185701,8.52812527895737,9.05156481025136,0.825765153030606,2.01203657275286,5.13370508399154,17.7801164293231,5.21001181652165,6.58299180327869,3.64779230166857,4.36952585995988,3.19713399773774,4.43136582744828,25.4397321428571,5.32093023255814,9.15730126200406,8.25739600273712,3.63508264312771,8.9957963568426,30.7226084048198,3.69864428663654,30.3575524058529,12.7982985207708,12.7982985207708,4.03149829343612,17.6811432590775,3.27736696380335,3.60357163136676,7.35495062934196
1998,12.7172305966725,5.38823484588715,1.8307218301565,17.5886524822695,12.3268919009626,2.78141449588339,8.9784808322645,8.55625139789756,12.1003443187408,6.34201708806149,2.8155809481819,11.7605791386703,13.0582344281492,10.9329215281302,2.90282367374399,5.25512926299591,6.54926335174954,28.8047316384181,2.84896321935755,4.22779323913665,2.62994059405941,7.39816108213244,10.6595099337461,12.9432380336177,2.40832363213038,3.4053096591479,1.8669518693643,2.39047145305347,17.4516608824988,5.43300657870635,16.9139105058366,5.60222303206997,6.76782656612314,6.37701078495996,0.730591963128331,2.08431659346608,4.89557089663477,17.0342821372022,5.93848340270023,6.5839118623604,3.56362309692439,4.26047474533606,3.48801264234771,4.50970628576154,22.7388963660834,4.46513642269381,8.14038157744681,8.08980674987248,3.33827591375574,8.48993288590604,41.1612122487636,2.8551724137931,29.2645446715214,12.3697989600551,12.3697989600551,4.07548570449664,17.75699179204,3.34586968876408,3.52652902112019,7.25602088070617
1999,11.7222265067674,5.20876582935437,1.9444742410797,17.0186335403727,14.158162194723,2.76042432860949,7.26476203945973,7.5215806637253,10.1295097132285,5.75813588752591,2.89731501383463,11.4073698522803,12.5206429656602,11.1437866989732,2.86954132830755,5.17562927684329,5.68369917236416,36.165394072732,2.45055170563071,4.15916682254688,2.78274647887324,7.28097621014105,11.6405524932826,12.5684127593164,2.30730979612133,3.55541467432543,1.71161654427478,2.61528804107365,18.6344969199179,5.97130545107004,16.897305171158,7.08163265306122,6.80193626850103,7.82995961447932,0.716240445409078,2.08703487319586,5.13325101251815,12.1356898097542,5.76079151041251,8.68514784946236,3.60610202854175,4.19757326007326,4.07196799827793,4.38840504796656,21.9974391805378,3.28040057224607,6.72762092041278,7.54671074037495,3.35424029346676,7.56728831947099,37.3692484266295,3.17184154175589,31.8357578797759,13.0448617807401,13.0448617807401,4.38578774106478,16.0603036079112,3.35872243735399,3.18127978033219,7.12508971459071
