Year,Albania,Algeria,Angola,Argentina,Australia,Austria,Bahrain,Bangladesh,Belgium,Bolivia,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Chile,China,Colombia,Cyprus,Denmark,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Eswatini,Ethiopia,Fiji,Finland,France,Germany,Ghana,Greece,Guatemala,Hungary,India,Indonesia,"Iran, Islamic Rep.",Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kenya,"Korea, Rep.",Kuwait,Lebanon,Lesotho,Luxembourg,Madagascar,Malawi,Malaysia,Malta,Mauritius,Mexico,Mongolia,Morocco,Mozambique,Namibia,Nepal,Netherlands,New Zealand,Nigeria,Norway,Oman,Pakistan,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Rwanda,Saudi Arabia,Senegal,Seychelles,Sierra Leone,Singapore,South Africa,South Asia,South Asia (IDA & IBRD),Spain,Sri Lanka,Sub-Saharan Africa,Sub-Saharan Africa (IDA & IBRD countries),Sub-Saharan Africa (excluding high income),Sweden,Switzerland,Tanzania,Thailand,Tunisia,Turkiye,Uganda,United Kingdom,United States,Uruguay,"Venezuela, RB"
1990,5.8883007196812,1.46107058594342,17.4636666666667,1.45090921225786,2.07590585971773,1.19566026670559,5.28479154433353,1.22316502629369,2.35544045891723,2.81588331884607,4.44515803477224,2.36384102519699,6.43773526926327,3.83344348975545,2.70489296636086,2.07137559385002,1.4745666126807,1.95879374221417,3.40165485912065,2.45401611552735,1.86015929954807,7.3740356129737,1.95075703504915,0.67572938756657,1.89032378813401,3.4676995357893,3.41366598744942,1.27597457759347,9.6579698086295,2.10875525984723,1.5633514986376,2.80526762706676,2.51843270660831,0.276510427354999,3.79826032707078,1.72801156281599,2.56353802709041,3.14621461029962,1.41049291967411,2.94265012534759,1.20350328404375,12.362686187267,1.8807984132592,0.840785086389815,0.941791766132693,7.75106758278973,2.88821495785942,4.00230428922186,48.5172672672673,7.55195134313229,3.55047598830801,0.788344680855924,1.23151104450381,1.30860569241997,2.55540346486845,0.914918012232462,0.346095334685598,0.433081035474032,4.28138537530827,4.14882504070243,5.86129753914989,6.42100268859719,1.07715440550785,2.36901988510143,2.32777974713459,0.833115305550364,2.88622689429437,12.3909414645003,6.52232023523122,1.4191337327407,2.13187585625298,2.68237879230488,2.14724666740931,2.61248574350627,1.840828125429,4.54741504925103,3.72916598371212,14.0242926458954,1.63346898573868,4.02623150831173,1.3066466691906,4.63214447298365,3.89635147817926,3.29523249020975,3.29523249020975,2.29330520898016,2.32848743256346,3.66784265641364,3.66784265641364,3.66742994313505,2.46222087771384,1.57214718757236,2.04648408015958,2.59425018891255,1.83945658886675,3.52770569378721,2.96852622114122,3.983217694585,5.60517529438794,3.52740166449266,1.51803655572423
1991,5.79127042184833,1.21083405924608,7.1025,1.50692655529635,2.16804285831077,1.15421711847241,5.70375064815348,1.21442280200769,2.28769284712482,2.6883248571772,4.60346992729676,1.96333333333333,6.40435012461295,3.04323157297492,2.16686926732236,2.32789658450414,1.51455169920463,1.89544433858064,2.8498427672956,2.31124341155315,1.85348178319724,7.26477612246644,1.95468015000635,0.348155032228406,1.77836016473231,3.61174470420041,2.73257745456787,1.38451659383859,5.70513154467309,2.16678825384228,1.78123103649322,2.81213643806721,1.99783498818879,0.368975044988862,3.484865109943,1.26843726414995,2.16146979946364,2.90997432764267,1.32406418395881,2.16970796657052,1.25393531255992,15.5869829136602,1.85885268375554,0.75852456763707,0.940821904384541,9.97308956172497,2.35425808983553,3.71112784107967,117.34982320869,5.15488867376573,2.88884695541125,0.811385163106724,1.29634905775571,1.07573010425435,3.19928362097037,0.871119892244603,0.367421785897981,0.435402300782292,3.2315351247489,4.14284293740367,2.61203208488343,5.61525495153814,1.09660964850338,2.24853153093843,2.25633669360145,0.773691292368809,2.74748719588206,11.0639102916896,6.57095278815428,0.924685894061952,2.8293270046069,2.01981593068921,2.01072106794016,2.25165022520211,1.82995478165992,4.77333466430117,5.50917220341816,12.4698079910217,1.54705556651557,4.42401898893995,2.03645709213082,4.44835667304419,3.22263389360805,3.21302870103258,3.21302870103258,2.12919223112803,3.082087848635,2.9557642433669,2.9557642433669,2.95418536570425,2.31988463219988,1.53782488553083,2.18177801099174,2.64502481409377,1.83370852776507,3.75436424807973,2.50799847648067,4.11680242273171,4.88342939776313,2.39471219270806,1.84033527682396
1992,4.6708878237371,2.14013212989672,5.68283054258138,1.42122223348777,2.16874608012627,1.09921407158669,5.8780719923865,1.36050314985351,1.83233253009366,2.50611883346961,4.48280904912553,1.52152886115445,6.24514478073449,2.97263384321224,2.04965156794425,3.14593301435407,1.53260561383612,1.86168769986295,2.62851046938573,2.44954206753443,2.10667794255338,9.12928604418491,1.88937728533689,0.559086816093422,1.66720659929361,3.21550063172359,2.25357678228633,1.63271154292264,3.44170834936514,1.84041410651212,1.90713101160862,2.69066071063176,1.86047994113579,0.377347219697109,3.62980089042347,1.47262037513846,2.1796531721192,2.70483970561409,1.35687600701146,1.78930544437356,1.20411854985202,10.925077527679,1.75197698347487,1.1078382456987,0.948312440331709,6.92424871901399,1.90074676245392,3.69027269027269,31.7860244470914,7.98399831561217,2.70645352476235,0.827198401049985,0.769921868015948,1.40248604299682,2.98642173584104,0.973183398963503,0.35442407333599,0.469454655731209,1.90943719983615,4.29804827877283,2.96844542513086,4.25041876046901,1.07468976820417,2.21300259630903,2.06936622865826,0.564010709444363,2.96470027529897,12.1840929027946,6.69818754925138,0.890351343106268,2.36888997739081,2.50703504732668,2.03646157033354,2.23099944320713,1.80524410002279,4.24768251683067,4.29060212378114,11.2841579833052,1.4439999325024,4.72738733060195,2.68691069093003,4.47136864604274,2.81765061454765,3.10669994738445,3.10669994738445,2.04280367601027,3.36763990096007,2.34179953012772,2.34179953012772,2.33852655280524,2.33879088257987,1.52370927239544,2.10603925919978,2.65742287815579,1.70612587759433,3.87056650021036,1.65917772135475,3.86471776641263,4.97046680768284,2.84951481234276,1.64347885019412
1993,3.19945106674965,2.50563157717782,17.5225890755741,1.42280290057293,2.17802988646311,1.11558454134251,5.36985516733492,1.42939051496523,1.73596589343319,1.91634980988593,4.93349197298009,1.92792281498297,5.74023173528116,2.60927161179391,1.86252988480765,1.76128949875169,1.32612455061139,1.82175350392748,2.70692293725521,1.92806687404062,2.52526701829097,4.07495260499477,1.9071976696874,0.755070036358464,1.82142150069293,3.09773699249923,1.67872879014223,1.74804676490152,3.07168835064302,1.80855931911651,1.86801150656572,2.68953480643636,1.69353832263442,0.421951639889914,3.60012469561704,1.26706017134887,1.90656828980965,2.82354224568723,1.22355780893698,1.70036120174971,1.13922514870102,11.5232439907469,1.7867679733127,0.821906410171071,0.950663824755226,6.97710941703805,1.83774159512733,3.41789483823914,12.4402191802041,6.01127876848041,2.47547266258969,0.707154433830032,1.12232401680386,1.26297539274604,2.87524536278848,1.00196104784451,0.330254201972496,0.442785493894955,1.71236270542572,4.65557168740476,2.87088387025103,2.46452375833154,1.05055255388421,2.02782940845455,1.89912384560739,0.933218301724012,2.68734984456601,11.5257307019735,6.42731262310377,0.917458233626881,2.17854766482964,2.74610246918215,2.15753564016657,2.46918731544486,1.78650706580181,2.74060801469377,4.53637540088899,12.4653722820651,1.66830404428701,2.75961340736171,2.08012107124639,4.09176493399803,2.49552369800039,3.19436485488102,3.19436485488102,2.0118717370405,3.43178565351856,2.47036917037193,2.47036917037193,2.46995497680583,2.26371080409098,1.36696434518412,1.37927837082884,2.52482449877102,1.73211395510226,3.9214172544983,1.93136675611518,3.59064951247979,4.60435029507644,2.79239845208779,2.14525385503951
1994,2.54781906037648,3.14643001210165,5.70928069083604,1.45703853325047,2.11659858893427,1.09445307622703,5.11130218782841,1.52902366386599,1.67714315012305,2.25030123424626,4.00812039559554,2.016007789121,5.98247135891837,2.49261728620574,1.42288472939781,3.84234290025109,1.31034009188973,1.69668025731865,2.59754498264789,1.69347959870483,2.50840701347047,4.02398919595774,1.77010988336089,0.733765624039859,1.55934346817278,3.15393465100637,1.35222117942445,1.818089820086,2.86843870238978,1.70263727299194,1.75560359540335,2.66037496035159,1.55027643275389,0.426586695929125,3.58197232877289,1.1785345993652,1.82413438385634,2.66467372708604,1.26615561718382,2.07301000512615,1.10873259118524,10.1199658353758,1.71374275955101,0.629920602685154,0.922871800066077,6.53945701855829,1.64125280758672,3.19275266895546,13.259238782833,6.99771316563215,2.74112240996011,0.741561435509644,0.926473487088508,1.42188006792208,2.84711528130931,1.02405911504141,0.333145557537633,0.51883032705709,1.65435558131062,4.49381938880623,3.30350171181452,1.7512338730626,0.973315396353707,1.91306097545144,1.82870805982045,0.781452287737133,2.73313708243107,11.766452600004,5.92354829296761,1.01320529871609,2.04676637090921,2.47419793989292,2.17244658668699,2.27323210335054,1.68121275838708,3.11472840805896,3.437876960193,10.644781673538,1.34761973804184,2.4436854517362,1.99116887023699,3.79143512807907,2.56196590060566,2.98548139412796,2.98548139412796,2.00133740218861,3.72933805803649,2.02936867049457,2.02936867049457,2.02876891226032,2.13146621280382,1.33228409403183,1.29411406473615,2.50238335344718,1.74212321164965,4.05135933699201,2.01578234788366,3.38193371776532,4.2152646751779,2.57770556975008,1.59074692484412
1995,2.05358735905793,2.93502710736712,4.70739276826233,1.47307310721151,2.02131256804327,1.07323205206951,5.18323179048832,1.56669314074255,1.56575215144642,2.09616225791141,3.50647971949777,1.86213698033379,5.47726596521598,2.37413128378025,1.38304269392664,3.57731057861843,1.25164483851881,1.55409007114777,2.56206462916649,1.68623388691537,2.83162658057701,3.04103421492608,1.6853146650741,0.549477867602509,2.34132011021456,3.08203623414837,1.17505832785871,1.69333926177873,2.22561605430131,1.6257873899244,1.42254149924916,2.49249618936836,1.49502201427653,0.335747716894977,3.17319019644845,1.08042737364637,1.32472748303328,2.57848357246069,1.22630986064236,2.15416588498039,1.01435938826102,7.91874390646774,1.46784314334637,0.538709243142773,0.916876617063548,4.45424850464514,1.64671623136492,2.8923329861881,13.5815813052368,6.71192798911137,3.24188937641956,0.595326878183646,0.859887969729569,0.790559173717009,2.7513451070467,0.842358247918523,0.332825601093285,0.450891531237052,1.62050592646532,4.34741049396921,1.46048234605694,1.94789863056824,0.941485114634425,1.79424050457827,1.81534784641762,0.483558767048935,2.30749103957538,10.9676477238468,5.82022528285793,0.775516093293818,2.2834245690128,2.63532409935627,2.29413153545476,1.95550705469987,1.70698985615926,2.61344768528808,0.607802874743326,9.27846839011516,1.31009911066192,2.28118026283164,1.96929162657653,4.17879788368962,2.11786404667743,2.98526793346878,2.98526793346878,1.91702239465122,5.86113224274153,1.52423507320552,1.52423507320552,1.5233070150578,1.75340503836864,1.35581088252354,1.62721403741102,2.2737823729037,1.74470758582503,3.90164973474904,2.10151053274244,2.85419949053587,3.8602457917389,2.71463667452926,1.54906215977261
1996,1.37902962734156,3.0940883958553,2.44784815671705,1.24122726437626,1.93044006740518,1.04968297742271,5.27393976376237,1.5390735944898,1.54010265143452,1.98680754250518,2.89952149833484,1.65484349950291,6.24949383149313,2.40293410901733,1.28708847039697,3.23845458339129,1.22483788338251,1.40375258106455,2.44932089847955,1.65272667000964,4.44539325396431,4.52471482889734,1.64481665845606,0.633651609977827,1.95039752732418,2.97481186979645,1.07440915279515,1.65257773101622,2.11713848911382,1.42424634501108,1.53047227121301,2.41447395059335,1.46585845994395,0.286903633491311,3.31191328182087,0.895717413539242,1.25906103979783,2.4727682254674,1.26439252827808,2.24486451064281,0.989927158967187,7.72965418733875,1.58849227935037,0.567656626792595,0.911247075685009,6.02691751674709,1.4179547033567,2.74347966333348,10.2926484718519,5.66185242685313,2.82467366309587,0.587036047449911,1.23763444173934,0.88346812069005,2.40056437500985,0.8748123692217,0.293390184375287,0.476484777906755,1.77694736936813,3.94909292657436,1.11168167118259,1.90360402371594,0.900716314535601,1.75660773571403,1.78188148485178,0.406177811568832,2.1630749742096,9.40707829017925,6.03716630506556,1.01731136644028,2.06378993670781,2.50202659772583,2.2684076761575,1.96791940080864,1.60164392895377,2.36907292563377,5.32855611635214,8.46807775904447,1.24391793737025,2.09574851017878,1.35295037022412,4.25331403898939,1.75587879819291,2.89032319135792,2.89032319135792,1.81443901615473,5.51978316113981,1.21360784154905,1.21360784154905,1.21268017551663,1.48460287619292,1.28375680158363,1.55535029886083,2.15152508135528,1.86753522903203,4.13969694261893,2.21091090169168,2.72459232198324,3.55498220635218,2.80593839042227,1.03948338355238
1997,1.28308078036268,3.63740346813324,5.97226820719497,1.14013911131295,1.86733439499343,1.04643398189713,5.06848741255812,1.57166792587459,1.47697579587888,2.27361030066829,3.19720462718414,1.57768831551774,7.18396455211652,2.4307013549238,1.41705504471596,3.00336116231161,1.30124174610687,1.24624320151167,2.49820192394138,1.63265067284541,2.80178788575936,5.573910769889,1.61596120506505,0.796926406823975,2.10417123484069,2.84148521846447,1.00776620629422,1.49483917047487,3.3431774775412,1.36495958076192,1.53515505066012,2.37540965314127,1.40930173264786,0.287938176197836,3.36586889039913,0.74281794332224,1.47668440278226,2.64773242601716,1.49774173762735,2.49887472505777,0.92406612738302,7.47926785987447,1.62669279946621,0.655054826817414,0.920437898126436,6.13150620936661,1.34063859838611,2.66338780772064,8.0864758714549,4.30515463917526,2.71217734729986,0.613890040125864,1.48191235942607,0.991556075150474,2.08555865079224,0.824691193662375,0.2340788927524,0.458095853691372,1.63873482170006,4.19265940634305,1.10274139236448,2.30135514297654,0.880707845982183,1.65927318261403,1.7039708435896,0.435835755422039,2.01607957074415,9.3579111585516,5.6212164889017,1.0753537542736,1.68568030658609,1.99676996833552,1.9144613761672,2.03130669657497,1.54115692093072,3.01764996200519,4.17352561260538,11.0009354234167,1.1969122297618,2.02481003710903,0.764916648015189,4.45003647708667,1.58213355671958,2.9312613859959,2.9312613859959,1.72281567944182,4.63060207374592,1.21402593222443,1.21402593222443,1.21312871690736,1.90897589896416,1.22086410342116,1.54354453955173,2.17392250470724,1.72638454432232,4.10367223056831,2.11670724007935,2.56014877225605,3.40556224418855,2.39972074691363,1.79528505216579
1998,1.23824256064749,3.96567378793071,2.64201188106298,1.13631802186333,1.87112181310612,1.01807286299799,5.33310395251817,1.56753519839217,1.46391926511004,2.69111085956905,3.77939884443731,1.66229191975824,7.52984389348026,2.45305914743146,1.2763626403725,2.66204789979779,1.39650943786737,1.25629390156868,2.58983722621321,1.65508069090551,3.44098574204708,4.67631794591642,1.60802638812534,0.780062374149808,2.35723486474882,2.65938329094369,0.922942907935975,1.64720895062658,7.27693614895529,1.25918886595729,1.46317555780765,2.22620830652768,1.39089478616645,0.334707661290323,3.53386881535161,0.720839850994178,1.2721641748015,2.72731141679376,1.01911684387405,2.62907924769004,0.823869515994083,6.98021666560999,1.64450887913205,0.544947828971664,0.938594774652954,6.27462165100982,1.22012251882916,2.79444200391705,8.79655979257573,4.02325225638672,2.85192846653195,0.63992050413869,1.34892749207597,0.813639842029948,1.60533534809333,0.731471858138656,0.202814817776534,0.450450487249782,1.90653754569999,3.4563343607373,1.13921166552746,2.32183724519666,0.927055460453057,1.5806480613385,1.69528017523824,0.548312392864221,2.15673766669647,8.21609216715177,5.4150950442544,0.87922032066839,1.54315371528311,2.01666134194933,1.69729337975318,2.01908131442398,1.42261228762117,3.00417486391887,4.37764728159408,14.3110374500593,1.17914185452607,1.73291558768129,1.02470222872405,5.21105296070909,1.38316672312245,2.96317506414332,2.96317506414332,1.75731994886122,4.64346408117958,1.2210220179777,1.2210220179777,1.22037619179069,1.87262378757035,1.18520390139366,1.60197154683142,1.85636828124458,1.67797151546674,3.18450090852014,2.44235581316614,2.49596227501881,3.20155849896996,2.2581336824168,1.58855520454273
1999,1.24921009885957,3.75507998270644,17.334692213616,1.22035954754993,1.88923574072912,0.980246123382213,5.50362154366541,1.58483439104611,1.38583555922092,2.13328709491197,3.09207375530236,1.64547466656987,6.13041835206517,2.64517195633853,1.38553138632928,2.51002908172038,1.44385239060644,1.24170306410258,2.7136315935113,1.87146591412577,3.76274205786296,2.73385096955161,1.56485472255403,0.81624388755279,1.75192504601763,2.56976747814276,0.920549239593538,1.68450591336061,9.50694268259021,1.13180634323429,1.22310377157804,2.17784297022174,1.39507435456434,0.333671099852227,3.36046994465272,0.675600759866063,1.43361259969176,2.95719564743412,0.810812654015076,2.40455173780106,0.750676498659298,6.53012330164809,1.68329979808882,0.511051526418673,0.94524833744442,6.28223322141843,1.18697414805458,2.49257721979611,7.59022387888794,4.77043929225137,3.56245119166974,0.57140192589808,1.21022921655833,0.811014470541655,2.10148156029312,0.683654672499048,0.208135283363803,0.460988775566099,1.8350123058221,2.42076323622306,1.24586939078367,3.12403306903887,0.947369575132442,1.58982542582888,1.61934201810554,0.855415630326234,2.03910557145363,7.51678821932738,5.18989926490607,0.691394522292367,1.38876785203796,1.93063071870992,1.61577584612539,1.90113577122386,1.42584248484356,2.64025926740376,4.44810543657331,11.3819360225849,1.20212680514523,1.78292544212037,1.74034004536642,5.20735398793435,1.27205293062738,3.0867476555933,3.0867476555933,1.75523458900652,4.0301638395602,1.898146267874,1.898146267874,1.89835576905362,1.86594944512673,1.08621220546806,1.48766265966724,1.62379763252113,1.55607575730874,3.88901737403665,2.65573403225382,2.42290959332375,3.08567678324746,2.3944609705068,1.43719900378467
