Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Algeria,1142.434963,1228.382107,1494.401503,1447.902333,1648.586329,1982.854794,2097.121449,2213.236731,2568.172386,2810.894101,2872.405441,2810.499289,3196.790783,3346.673172,3430.510099,4024.924222,4689.591679,5093.384893,5390.348752,7714.487925,8117.902483,8768.654982,10098.60135,10565.03024,10596.56411,10035.46938,9624.504002,10383.20782,10141.07336,9455.120355,9145.810174,16052.12907
Morocco,1922.419897,2028.248155,2082.192823,1917.69552,1912.573261,2003.07748,2026.963749,1433.362906,1578.403347,2351.393837,2237.206819,2369.747883,2303.242059,2390.2118,2413.030628,2485.024355,2771.800822,2960.479923,3168.340679,3191.438259,3420.971507,3908.272037,3875.234437,3577.909489,3599.711151,3705.59815,3731.482387,3809.704239,4883.245061,5026.030416,4995.028074,4868.719082
Tunisia,286.5951032,298.2318832,308.6888021,313.5582168,360.6499843,356.2166656,363.298124,359.6405245,375.7687449,390.539478,386.6502476,402.347438,409.6213321,440.6709421,464.8304003,428.8578819,466.3053516,480.9093598,498.9340488,595.1692504,601.1943818,661.8925975,790.7746494,943.4134326,1004.52727,932.551601,936.2981123,1151.413236,1205.706839,1210.355285,1156.186916,1113.466124
Angola,188.2255439,3014.014748,13094.65121,1412.661574,1058.235114,1696.06517,523.1346267,6685.65919,3096.943461,1866.153792,1912.898917,2526.124868,2404.467022,3406.69728,4001.64646,3509.737379,4751.210589,4622.802149,4946.65824,4631.710125,4861.044758,6639.35288,7085.001136,4170.569003,3331.954433,2882.802335,2376.791945,2171.788155,1901.093962,1619.929593,1622.763732,1639.712947
Botswana,262.9422999,275.546941,253.5108545,230.539968,212.7999182,245.4664067,300.4857665,285.8367722,316.2938693,386.9449701,412.4160579,397.8445176,367.9489647,333.4346936,328.2607339,362.0239155,387.4723737,373.3797385,350.0804752,338.5466921,315.5793638,308.0034496,356.2831571,432.1708853,606.6147863,566.8646676,515.3508948,546.0738721,552.4700039,537.2161209,485.1020547,521.5971063
Burkina Faso,80.18880764,72.60895918,56.85730244,57.94990214,56.40038755,65.27637544,64.32672789,71.72195642,73.06051043,71.97570332,77.22648436,75.43089297,89.0837246,93.96656267,89.53508229,122.1001356,111.8757253,125.1225874,128.4789306,133.7077359,148.2526643,160.4836937,171.7120695,170.2856615,171.7255526,213.2724052,318.2425365,405.8837373,418.0307032,465.835508,562.5833492,793.3734815
Burundi,86.04530268,85.059459,89.06486086,74.17141175,85.94438508,92.7441764,99.45618484,104.2465264,89.65704192,118.8780909,113.979771,115.8264883,112.5393333,107.8191814,90.05889221,90.4750614,75.48312258,76.85911523749999,78.235107895,79.6111005525,80.98709321,83.48340315,81.25097327,83.25438753,83.30427189,71.78151832,78.25108061,105.6856792,81.50462727,78.61902188,101.4342212,152.3822283
Cameroon,219.3291488,221.804324,180.9252118,179.2025838,181.9504681,201.1258082,227.8081593,246.0652754,238.9978343,238.0804254,257.897445,276.6426891,294.2673539,290.5878376,315.6151494,331.0141394,342.9800815,347.6085994,371.331641,337.2925611,362.3107514,380.7478868,382.4496228,392.5987871,427.2743901,440.9775995,436.8570988,441.6349353,394.3372076,418.9354767,416.6380216,414.1652593
Cabo Verde,5.197466741,4.466435732,5.514491092,8.639378419,6.01658417,6.014736602,6.681599808,7.486645416,12.06359895,8.19661192,7.45527834,7.858734084,8.1236112,8.866224586,8.226863284,8.212958721,9.733830538,7.937707631,7.997576443,8.637091224,9.093477259,8.739803896,8.9756569,9.520921136,11.04155725,9.92518874,10.67646538,10.10720795,11.44213973,10.76443553,10.25066827,12.20744239
Central African Republic,34.9634308,31.81169759,27.95831675,25.67431068,23.77303144,24.19774079,24.62245014,25.04715949,25.47186884,25.89657819,26.32128754,29.63464618,27.65999042,27.36322321,28.007748215,28.65227322,40.39841958,47.00031288,69.61828138,63.37067543,55.71138236,56.49363551,39.43467188,32.3457775,31.05959931,30.26462346,31.26473326,42.89524493,45.04573288,52.13129831,42.00180266,56.96001961
