Country,Latitude,Longitude,ISO3
Fiji,-17.31630942638265,163.85316464458234,FJI
Tanzania,-6.257732428506092,34.75298985475595,TZA
W. Sahara,24.291172960208623,-12.13783111160779,N/A
Canada,61.46907614534896,-98.14238137209708,CAN
United States of America,45.70562800215178,-112.5994359115045,USA
Kazakhstan,48.19166075218232,67.2846109811001,KAZ
Uzbekistan,41.748602664652246,63.20363952823182,UZB
Papua New Guinea,-6.451644514630347,145.31757462782247,PNG
Indonesia,-2.221737936520542,117.42340756227364,IDN
Argentina,-35.4468214894951,-65.17536077114173,ARG
Chile,-39.04701430994844,-71.5206439451643,CHL
Dem. Rep. Congo,-2.8502757110956667,23.582955831479083,N/A
Somalia,4.752347756504953,45.72670076723565,SOM
Kenya,0.5959662521769523,37.791555286661385,KEN
Sudan,15.990585003116717,29.862604012257922,SDN
Chad,15.328867399839682,18.581329525332894,TCD
Haiti,18.900700691843337,-72.65801330535574,HTI
Dominican Rep.,18.884487087982258,-70.46235845697531,N/A
Russia,61.961663494923,96.80331818290134,N/A
Bahamas,25.515491725336624,-77.92997080393516,BHS
Falkland Is.,-51.71322176551185,-59.42097279311021,N/A
Norway,69.15685630975351,15.468119955206761,NOR
Greenland,74.77048769398986,-41.50018111492097,GRL
Fr. S. Antarctic Lands,-49.306454911671985,69.5315804704237,N/A
Timor-Leste,-8.767760362467003,125.96630027368401,TLS
South Africa,-28.947033259979115,25.048013879861678,ZAF
Lesotho,-29.625290493692013,28.170105295170494,LSO
Mexico,23.935371902244835,-102.5763495239869,MEX
Uruguay,-32.780904365230825,-56.003278666548475,URY
Brazil,-10.806773643498916,-53.05434003576711,BRA
Bolivia,-16.72898701530584,-64.64140560603113,BOL
Peru,-9.191562905134553,-74.39180581684722,PER
Colombia,3.927213862709704,-73.07773208697478,COL
Panama,8.530019388864652,-80.10916483549376,PAN
Costa Rica,9.965671127464528,-84.17542309600948,CRI
Nicaragua,12.848190428036988,-85.02031850080252,NIC
Honduras,14.822947081652929,-86.58996383801542,HND
El Salvador,13.726091625794197,-88.87290317032377,SLV
Guatemala,15.699360612026911,-90.36945836053154,GTM
Belize,17.197089911451545,-88.70342125299318,BLZ
Venezuela,7.162132267639002,-66.16382727830238,VEN
Guyana,4.790225375174759,-58.97120310856251,GUY
Suriname,4.1200080317588865,-55.91145629952073,SUR
France,42.46070432663372,-2.8766966992706267,FRA
Ecuador,-1.4547717055405804,-78.38416674608374,ECU
Puerto Rico,18.2372245709719,-66.47922227695507,PRI
Jamaica,18.137636127868436,-77.32425480164892,JAM
Cuba,21.631751541025228,-78.96068490970256,CUB
Zimbabwe,-18.906987947858802,29.788548371892524,ZWE
Botswana,-22.099711378826413,23.773081465789428,BWA
Namibia,-22.099776931731068,17.156168126194093,NAM
Senegal,14.354139988452022,-14.50980278585943,SEN
Mali,17.267772061700715,-3.543294339453343,MLI
Mauritania,20.20926720635376,-10.326396925234992,MRT
Benin,9.647430780663699,2.337377553496156,BEN
Niger,17.345552814745542,9.324427099857923,NER
Nigeria,9.548318418209965,7.995127754089786,NGA
Cameroon,5.663095287992696,12.611551546501774,CMR
Togo,8.439541954669616,0.9964039436703582,TGO
Ghana,7.928651813099648,-1.2369685557063992,GHA
Côte d'Ivoire,7.5537550070104915,-5.6120436452252225,CIV
Guinea,10.44827287727134,-11.060853741185456,GIN
Guinea-Bissau,12.022704382325685,-15.110623751667879,GNB
Liberia,6.431619862252993,-9.410836154371117,LBR
Sierra Leone,8.53035372615305,-11.795257428559948,SLE
Burkina Faso,12.311650494136712,-1.77653745205594,BFA
Central African Rep.,6.5427787059213145,20.374347291243915,N/A
Congo,-0.8378010872252886,15.13446176741353,COG
Gabon,-0.6470481398040288,11.687751174902044,GAB
Eq. Guinea,1.6458643199600753,10.366031325064027,N/A
Zambia,-13.395067553524187,27.727591918760577,ZMB
Malawi,-13.172834992341919,34.193605326922366,MWI
Mozambique,-17.230448975659677,35.47261597864435,MOZ
eSwatini,-26.48985528852001,31.39525590206532,SWZ
Angola,-12.245869036133188,17.47057255231345,AGO
Burundi,-3.3773910753554657,29.91389229542573,BDI
Israel,31.4849193900197,35.003851206429005,ISR
Lebanon,33.91182720781994,35.87098632001643,LBN
Madagascar,-19.356114077828778,46.69117091471639,MDG
Palestine,31.94113662241515,35.27331962289024,N/A
Gambia,13.47533435870166,-15.431872807730837,GMB
Tunisia,34.172939036882376,9.534716120695835,TUN
Algeria,28.185481278657537,2.5980477916183444,DZA
Jordan,31.245490584748417,36.77945490632519,JOR
United Arab Emirates,23.86863365334761,54.20671476159633,ARE
Qatar,25.32185097420669,51.1835025789133,QAT
Kuwait,29.307266634033564,47.600098887626416,KWT
Iraq,33.03682096372491,43.75691096461423,IRQ
Oman,20.611174374229545,56.09867281997542,OMN
Vanuatu,-15.542677057554924,167.07375126822674,VUT
Cambodia,12.684728629393506,104.87608532525192,KHM
Thailand,15.01697499141648,101.00613354626108,THA
Laos,18.444978089036088,103.75025989504465,LAO
Myanmar,21.016999873773827,96.50584094206161,MMR
Vietnam,16.657937753254938,106.28584079705195,VNM
North Korea,40.14302033650109,127.16501590888976,PRK
South Korea,36.42759860415487,127.8213171283307,KOR
Mongolia,46.82368112626357,102.94640620846634,MNG
India,22.92500640740852,79.59370376325381,IND
Bangladesh,23.83946179534406,90.26792827719598,BGD
Bhutan,27.427968649102027,90.4724248062037,BTN
Nepal,28.23944001904935,84.01317367692529,NPL
Pakistan,29.973460025547393,69.41399806318127,PAK
Afghanistan,33.85639928169076,66.08669022192831,AFG
Tajikistan,38.58308146421082,71.03443504896113,TJK
Kyrgyzstan,41.50689371318262,74.62040481092558,KGZ
Turkmenistan,39.09124018017583,59.27543026236141,TKM
Iran,32.51891731762539,54.285451496891426,IRN
Syria,35.012614281129,38.54423941961137,SYR
Armenia,40.21660761230143,45.00029001101479,ARM
Sweden,62.811484968080336,16.59626584684802,SWE
Belarus,53.50634479481114,27.98135261544803,BLR
Ukraine,49.14882260840351,31.229122070266495,UKR
Poland,52.14826021933187,19.31101430844868,POL
Austria,47.6139487927463,14.076158884337072,AUT
Hungary,47.19995117195427,19.357628627745918,HUN
Moldova,47.20367642606752,28.41048279080328,MDA
Romania,45.857101035738005,24.943252494635377,ROU
Lithuania,55.284319484766066,23.88064027584349,LTU
Latvia,56.80717513427924,24.833296149803438,LVA
Estonia,58.643695426630906,25.824725613026608,EST
Germany,51.13372269040778,10.288485092742851,DEU
Bulgaria,42.7531187620217,25.19511095327711,BGR
Greece,39.066715899713955,22.719813447095053,GRC
Turkey,39.06837194061471,35.116900150938406,N/A
Albania,41.141353306048785,20.03242643144321,ALB
Croatia,45.01623399593114,16.566189771645533,HRV
