Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Arab World,ARB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,953797428467.387,946755977175.532,1008968144420.3,1041986921474.7,1077109752590.91,1107404578807.47,1160861481107.19,1224277897659.55,1282683498984.83,1318491309021.25,1402269870797.04,1431761053627.6,1449362288443.21,1511413168092.65,1648597987325.98,1740413142251.47,1849980652192.43,1935262917507.71,2042972736955.9,2056232674655.41,2155681654882.28,2232625504183.02,2344317186668.62,2404104967387.99,2464744944259.34,2544700996740.79,2636674297888.85,2677219844271.11,2747631798003.31,2791146445688.45,2659633647264.58,2766846308188.48,2925149568927.99,2955008072441.98,..
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,265817211205.311,290094591011.844,313120244489.89,338817957426.035,358592053441.545,348389357874.283,367643757074.802,397463514160.866,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514874343768.066,568636554720.066,598603016935.287,588959512629.692,..
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,5839777093.95123,5156523262.60518,3001096397.25066,2736999950.50702,2884798023.90046,3083849041.96219,3264729146.7809,3373153403.74995,3619393601.80914,3738833590.68989,3959424772.65728,4339529550.80371,4912347451.42022,5600076094.6952,6188084084.57212,7048227772.27278,7978593838.17516,9071661194.12856,9697605816.5624,8330243396.35924,8513508751.09706,8913643662.28574,9555426006.05632,9870755064.25618,10226102246.6276,10553337518.414,10574444193.4325,11367527508.1135,11958638938.496,12867495497.6469,11941035821.9185,12633615899.6682,14225451502.9981,15406163977.6894,..
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1669818678.8499,1802784198.40914,1908830345.97587,2048321812.23325,2216364111.87433,2272818090.43191,2299768906.23206,2461830746.1686,2510870031.79451,2541955653.38816,2735726915.78639,2850135060.01,2823202609.54275,2854554404.37331,3062757840.26596,3051023261.17582,3085420847.19517,3180746293.72871,3239137008.32128,2860878965.88948,2782678075.47099,2876433099.90676,2846495187.52904,3029567030.34403,2981500673.04632,2962907262.56983,3013858155.98809,3226290954.32065,3303627899.75438,3229876376.13191,2383266968.91162,2958411905.44105,3210407008.76028,3347289755.67821,..
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,629466776079.67,627060575115.855,629746209994.416,655230327244.458,681311039099.666,707786283507.272,735134359250.411,763901984857.931,799524373774.542,839721933537.843,872651653770.258,890323770708.066,925754967998.798,954367849882.364,994683066030.821,1026057036344.3,1054328458936.16,1094111663603.91,1133349428616.57,1154798699180.01,1180435002406.5,1208849019421.68,1256196122893.84,1288884775424.06,1322334997273.41,1351296372254.31,1388583854795.63,1420237898460.73,1461119016244.31,1492847874023.89,1491062566266.52,1522541404227.63,1587133480804.53,1641762491418.85,..
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,239296977562.902,247532687599.64,252714846186.879,254046171785.085,260148662438.995,267089385643.72,273007465269.592,278865754355.301,288606201307.485,299463348574.799,309014799991.68,313084486617.415,317731815610.858,321358930858.678,329602607197.97,337250591613.85,348276446973.261,361424665131.865,366677270021.069,353527252232.556,359922498957.786,370459114608.076,372786509841.892,371851835102.085,374662287839.195,379546097300.633,387581921933.047,396388752620.721,406235924727.366,413365269561.549,387247796564.086,405817602863.188,427236226636.132,423156281454.21,..
Azerbaijan,AZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,20240091907.5767,20098411228.6619,15556170225.3742,11962695102.6124,9606044019.06944,8472530910.53572,8582673761.93048,9080468852.82118,9988515702.82903,10727665994.6477,11918436828.1641,13098362058.1026,14334705485.3859,15798035139.5108,17259953999.1872,22086102614.13,29705808016.0049,37132259975.9133,41127311680.0779,44950656172.1802,47220189860.7658,47267410115.7076,48290862738.2682,51096465688.5745,52501877459.7444,53076235354.746,51430872122.2426,51533733835.093,52306739842.6194,53614408373.9591,51308988759.0274,54190732985.9123,56745718946.4579,57383526259.1424,..
"Bahamas, The",BHS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,8557995783.83521,8200118797.83931,7886416504.77103,7910691414.96168,8159792440.42319,8517089517.94572,8876811379.71544,8991122802.80373,9415215953.24133,10087848763.9878,10506335029.8288,10782232420.1522,11073887089.6006,10933811645.1092,11030288728.3407,11404886621.6495,11691901110.7421,11860977682.4575,11585370303.4063,11101631501.3115,11272448140.6603,11341567493.8773,11681576709.4504,11347097042.1347,11556707522.6666,11671900000,11559626969.4738,11883240881.123,12195757028.0878,12030228260.9362,9452936752.71722,10908986680.2055,12085195064.0679,12404130127.1916,..
Bahrain,BHR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,9444382363.28062,10504986387.4567,11207769805.1897,12650210526.6376,12618584812.5232,13114494128.7944,13653500639.4551,14075803385.1149,14750034759.7734,15384286101.099,16199664042.0741,16603189267.0808,17159155472.1832,18239571740.523,19512869056.2977,20833694747.3041,22181009812.0285,24020693992.7158,25520788920.7817,26168987849.2987,27303230073.1892,27829679463.9972,28888050241.9569,30416985616.3829,31727610007.9685,32523297872.3404,33764059498.7261,35436675410.8102,36164044588.1584,36906448210.9064,34724774104.3146,36235315986.0804,38402659963.6336,39547363674.0058,..
Bangladesh,BGD,GDP (constant 2015 US$),NY.GDP.MKTP.KD,52852405164.9835,54694431891.2081,57671277832.2235,60388495684.6196,62737684522.6707,65950655693.3725,68933550573.3629,72028595646.2459,75757535399.2044,79295530763.5123,83492876905.7611,87732050538.1162,91094928770.2862,95412434316.9993,100411600213.555,106974447115.636,114111680586.242,122166366935.51,129513195397.247,136047297736.462,143627564998.204,152912195327.661,162884301114.117,172679520662.469,183145728910.398,195146608978.131,209028320490.615,222803809377.443,239111739541.452,257958323968.613,266852772253.895,285368829855.224,305629528154.311,323279976841.364,..
Barbados,BRB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4506291753.62327,4330550573.8267,4084033082.71274,4116422242.12917,4199194538.41561,4283766232.44741,4454109219.0079,4665238554.46317,4839180336.51438,4855374916.22259,5071302645.6655,4951342795.97499,4990329747.12439,5098893411.09429,5170869320.9086,5375400864.63085,5701717027.29724,5820266209.13528,5857135329.11833,5563266686.3353,5439889540.40666,5400100308.35573,5383181191.92017,5328790506.40994,5333181721.68845,5288057750,5382816060.91822,5389730072.92036,5326451133.48749,5361210776.86546,4554114648.02364,4542503209.52524,5352561584.79213,5571685827.33474,..
Belarus,BLR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,29435182820.3807,29081961913.5884,26290093194.8008,24292045612.7094,21449875344.3062,19219088195.1365,19757223553.9961,22009548117.5155,23858348254.1093,24669531913.7696,26100365593.8692,27333687748.3434,28712745414.3511,30735039349.3483,34254122383.3863,37474010431.5993,41221409496.6336,44766453433.5522,49332631447.7309,49431294367.0231,53262228116.6552,56218268314.0174,57178393454.1458,57749445092.7997,58702960436.3191,56454889146.6088,55028586612.0854,56422011402.6863,58198852028.1251,59040672510.7894,58643480548.472,60073714183.7453,57275242735.7789,59501097357.3809,..
